record_number,region,residence_type,family_composition,sex,age,marital_status,student,country_of_birth,health,ethnic_group,religion,economic_activity,occupation,industry,hours_worked_per_week,approximate_social_grade
21,S92000003,P,5,2,2,1,1,2,2,1,2,6,X,X,X,2
48,S92000003,P,0,1,2,1,1,2,1,1,1,6,X,X,X,2
49,S92000003,P,0,1,3,2,1,2,1,4,2,6,2,8,X,2
86,S92000003,P,1,1,2,1,1,2,1,1,2,6,X,X,X,1
89,S92000003,P,1,1,3,2,1,1,2,1,2,6,2,10,X,2
168,S92000003,P,1,2,2,1,1,1,1,1,8,6,X,X,X,2
192,S92000003,P,4,1,2,1,1,1,1,1,1,6,X,X,X,4
193,S92000003,P,4,1,2,1,1,1,1,1,1,6,X,X,X,4
230,S92000003,P,1,1,2,1,1,1,1,1,2,6,X,X,X,2
372,S92000003,P,1,1,2,1,1,1,1,1,2,6,X,X,X,2
386,S92000003,P,1,1,2,1,1,2,1,1,1,6,3,8,X,1
405,S92000003,P,1,1,2,1,1,1,1,1,1,6,X,X,X,3
422,S92000003,P,1,1,2,1,1,1,1,1,1,6,7,4,X,1
430,S92000003,P,1,2,2,1,1,1,1,1,1,6,X,X,X,2
439,S92000003,P,1,1,2,1,1,1,1,1,1,6,X,X,X,2
509,S92000003,P,2,1,2,1,1,1,1,1,1,6,X,X,X,4
514,S92000003,C,X,1,2,1,1,1,1,1,2,6,X,X,X,X
515,S92000003,C,X,2,2,1,1,1,1,1,2,6,X,X,X,X
516,S92000003,C,X,1,2,1,1,2,1,1,2,6,X,X,X,X
518,S92000003,C,X,1,2,1,1,2,1,1,2,6,X,X,X,X
519,S92000003,C,X,1,2,1,1,1,1,1,2,6,X,X,X,X
595,S92000003,P,1,1,2,1,1,1,1,1,2,6,X,X,X,1
691,S92000003,P,1,2,2,1,1,1,1,1,2,6,X,X,X,3
696,S92000003,P,1,2,2,1,1,1,2,1,2,6,7,4,X,3
720,S92000003,P,4,1,2,1,1,1,3,1,9,6,X,X,X,4
725,S92000003,P,4,1,2,1,1,1,1,1,1,6,X,X,X,4
730,S92000003,P,1,1,2,1,1,1,1,1,1,6,X,X,X,3
747,S92000003,P,1,1,2,1,1,1,1,1,2,6,X,X,X,1
863,S92000003,C,X,2,2,1,1,2,2,3,1,6,X,X,X,X
864,S92000003,C,X,2,2,1,1,2,1,2,2,6,9,5,X,X
865,S92000003,C,X,2,2,1,1,1,1,1,2,6,9,4,X,X
867,S92000003,C,X,2,2,1,1,2,1,1,6,6,3,2,X,X
868,S92000003,C,X,2,2,1,1,1,1,1,1,6,X,X,X,X
869,S92000003,C,X,2,3,1,1,2,1,3,1,6,3,8,X,X
870,S92000003,C,X,2,2,1,1,2,2,3,1,6,X,X,X,X
874,S92000003,C,X,1,2,1,1,1,1,1,1,6,1,9,X,X
875,S92000003,C,X,1,3,1,1,1,2,1,1,6,3,8,X,X
876,S92000003,C,X,1,2,1,1,1,2,1,1,6,X,X,X,X
878,S92000003,C,X,1,2,1,1,1,1,1,1,6,X,X,X,X
880,S92000003,C,X,1,2,1,1,1,1,1,1,6,2,10,X,X
881,S92000003,C,X,1,2,1,1,1,1,1,1,6,9,5,X,X
883,S92000003,C,X,1,2,1,1,1,1,1,5,6,X,X,X,X
884,S92000003,C,X,1,2,1,1,2,1,3,3,6,X,X,X,X
885,S92000003,C,X,1,2,1,1,2,1,3,6,6,X,X,X,X
887,S92000003,C,X,1,2,1,1,1,1,1,1,6,X,X,X,X
888,S92000003,C,X,2,3,1,1,2,1,3,1,6,X,X,X,X
889,S92000003,C,X,1,2,1,1,2,1,1,1,6,4,13,X,X
891,S92000003,C,X,1,2,1,1,2,2,3,1,6,X,X,X,X
906,S92000003,P,1,2,2,1,1,1,1,1,1,6,X,X,X,1
987,S92000003,P,0,2,3,1,1,1,1,1,1,6,X,X,X,2
999,S92000003,P,1,1,2,1,1,2,1,1,2,6,X,X,X,2
1018,S92000003,P,3,2,2,1,1,1,1,1,2,6,X,X,X,3
1144,S92000003,P,4,2,2,1,1,1,1,1,1,6,X,X,X,4
1316,S92000003,P,1,1,2,1,1,1,1,1,2,6,X,X,X,3
1338,S92000003,P,1,1,2,1,1,1,1,1,2,6,X,X,X,1
1353,S92000003,P,4,2,2,1,1,1,2,1,2,6,X,X,X,4
1380,S92000003,P,1,2,2,1,1,1,1,1,1,6,X,X,X,3
1397,S92000003,P,4,2,2,1,1,2,1,1,2,6,9,5,X,2
1468,S92000003,P,4,1,2,1,1,1,2,1,2,6,X,X,X,4
1470,S92000003,P,3,1,2,1,1,1,1,1,2,6,X,X,X,4
1474,S92000003,P,0,1,3,1,1,1,2,1,1,6,9,4,X,2
1553,S92000003,P,5,1,2,1,1,2,2,1,2,6,X,X,X,2
1593,S92000003,P,0,2,2,1,1,1,1,1,1,6,9,5,X,2
1594,S92000003,P,0,1,2,1,1,1,1,1,1,6,9,6,X,2
1598,S92000003,C,X,2,2,1,1,2,1,3,1,6,X,X,X,X
1599,S92000003,C,X,1,2,1,1,2,2,1,1,6,4,7,X,X
1600,S92000003,C,X,2,2,1,1,2,2,1,6,6,X,X,X,X
1602,S92000003,C,X,1,2,1,1,2,1,1,2,6,X,X,X,X
1604,S92000003,P,0,2,2,1,1,1,1,1,2,6,X,X,X,2
1639,S92000003,P,5,1,2,1,1,1,1,1,2,6,4,8,X,2
1666,S92000003,P,1,2,2,1,1,1,1,1,1,6,X,X,X,1
1697,S92000003,P,4,2,2,1,1,1,1,1,9,6,6,11,X,1
1702,S92000003,P,1,1,2,1,1,1,1,1,1,6,X,X,X,4
1726,S92000003,P,1,1,2,1,1,1,1,1,2,6,4,13,X,3
1742,S92000003,P,2,2,2,1,1,2,1,3,1,6,X,X,X,2
1754,S92000003,P,0,1,2,1,1,1,1,1,1,6,9,5,X,2
1756,S92000003,P,1,1,2,1,1,1,2,3,1,6,X,X,X,2
1800,S92000003,P,2,1,2,1,1,1,1,1,1,6,X,X,X,3
1826,S92000003,P,0,2,2,1,1,2,2,6,6,6,X,X,X,2
1829,S92000003,P,3,2,2,1,1,1,1,1,1,6,7,4,X,3
1880,S92000003,P,0,2,2,1,1,1,1,1,2,6,9,5,X,2
1881,S92000003,P,0,2,2,1,1,1,1,1,2,6,4,11,X,2
1889,S92000003,P,1,2,2,1,1,1,1,1,9,6,X,X,X,3
1896,S92000003,P,1,1,3,2,1,2,2,4,6,6,2,10,X,2
1929,S92000003,P,4,2,2,1,1,1,1,1,1,6,X,X,X,4
1944,S92000003,P,4,2,2,1,1,1,1,1,1,6,X,X,X,2
2007,S92000003,P,1,1,6,2,1,1,1,1,2,6,1,4,X,1
2036,S92000003,P,4,1,2,1,1,1,1,1,1,6,X,X,X,2
2044,S92000003,P,4,1,2,1,1,1,1,1,2,6,X,X,X,4
2051,S92000003,P,1,2,2,1,1,1,1,1,1,6,9,5,X,2
2057,S92000003,P,1,2,3,1,1,1,1,1,1,6,7,4,X,1
2120,S92000003,P,1,2,2,1,1,1,1,1,2,6,X,X,X,1
2140,S92000003,P,1,2,2,1,1,2,1,1,1,6,X,X,X,4
2178,S92000003,P,1,2,6,2,1,2,1,1,1,6,2,11,X,1
2241,S92000003,P,4,2,2,1,1,1,1,1,1,6,X,X,X,4
2261,S92000003,P,4,2,2,1,1,1,2,1,2,6,X,X,X,1
2266,S92000003,P,4,2,2,1,1,1,1,1,2,6,X,X,X,4
2323,S92000003,P,4,2,2,1,1,1,1,1,2,6,X,X,X,3
2332,S92000003,P,4,2,2,1,1,1,1,1,2,6,6,4,X,2
2333,S92000003,C,X,2,2,1,1,1,1,1,1,6,7,4,X,X
2335,S92000003,C,X,2,2,1,1,1,2,1,1,6,7,4,X,X
2337,S92000003,C,X,1,2,1,1,1,2,1,1,6,4,11,X,X
2338,S92000003,C,X,2,2,1,1,1,2,1,1,6,X,X,X,X
2339,S92000003,C,X,2,2,1,1,1,1,1,2,6,7,8,X,X
2341,S92000003,C,X,2,2,1,1,2,2,1,1,6,X,X,X,X
2344,S92000003,C,X,1,2,1,1,1,1,1,1,6,7,4,X,X
2345,S92000003,C,X,1,2,1,1,1,1,1,1,6,9,5,X,X
2346,S92000003,C,X,1,2,1,1,1,1,1,1,6,7,4,X,X
2347,S92000003,C,X,1,2,1,1,1,1,1,2,6,9,10,X,X
2349,S92000003,C,X,1,2,1,1,1,1,1,1,6,X,X,X,X
2352,S92000003,C,X,2,2,1,1,2,2,1,2,6,6,11,X,X
2353,S92000003,C,X,1,2,1,1,1,1,1,1,6,6,12,X,X
2354,S92000003,C,X,2,2,1,1,2,1,1,1,6,X,X,X,X
2355,S92000003,C,X,2,2,1,1,2,2,3,1,6,X,X,X,X
2434,S92000003,P,1,2,4,2,1,2,2,1,2,6,2,11,X,1
2446,S92000003,P,1,1,2,1,1,1,2,1,2,6,X,X,X,3
