record_number,region,residence_type,family_composition,sex,age,marital_status,student,country_of_birth,health,ethnic_group,religion,economic_activity,occupation,industry,hours_worked_per_week,approximate_social_grade
8,S92000003,P,2,2,1,1,1,1,2,1,1,X,X,X,X,X
9,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
12,S92000003,P,1,2,1,1,2,1,1,1,1,X,X,X,X,X
20,S92000003,P,4,2,1,1,1,1,1,1,1,X,X,X,X,X
31,S92000003,P,1,1,1,1,2,1,1,1,1,X,X,X,X,X
32,S92000003,P,4,1,1,1,1,1,1,1,1,X,X,X,X,X
33,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
45,S92000003,P,1,2,1,1,2,1,1,4,2,X,X,X,X,X
58,S92000003,P,4,1,1,1,1,1,2,1,2,X,X,X,X,X
67,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
68,S92000003,P,1,2,1,1,1,2,1,1,1,X,X,X,X,X
78,S92000003,P,1,2,1,1,1,2,1,1,2,X,X,X,X,X
79,S92000003,P,1,2,1,1,2,1,1,1,1,X,X,X,X,X
81,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
97,S92000003,P,2,1,1,1,1,1,1,1,1,X,X,X,X,X
98,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
100,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
117,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
125,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
127,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
141,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
150,S92000003,P,2,1,1,1,2,1,1,1,1,X,X,X,X,X
151,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
153,S92000003,P,1,1,1,1,1,2,2,1,2,X,X,X,X,X
155,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
161,S92000003,P,2,1,1,1,2,1,2,1,1,X,X,X,X,X
165,S92000003,P,1,1,1,1,2,1,1,1,1,X,X,X,X,X
166,S92000003,P,4,1,1,1,2,1,1,1,9,X,X,X,X,X
175,S92000003,P,1,1,1,1,2,1,1,1,1,X,X,X,X,X
177,S92000003,P,1,2,1,1,1,1,1,1,9,X,X,X,X,X
185,S92000003,P,4,2,1,1,1,1,1,1,2,X,X,X,X,X
187,S92000003,P,4,2,1,1,1,1,1,1,2,X,X,X,X,X
196,S92000003,P,4,1,1,1,2,1,2,1,1,X,X,X,X,X
197,S92000003,P,4,1,1,1,1,1,1,1,2,X,X,X,X,X
202,S92000003,P,4,1,1,1,1,1,1,1,1,X,X,X,X,X
204,S92000003,P,2,1,1,1,2,1,1,1,1,X,X,X,X,X
206,S92000003,P,4,1,1,1,2,1,1,1,1,X,X,X,X,X
214,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
220,S92000003,P,4,1,1,1,1,1,1,5,1,X,X,X,X,X
245,S92000003,P,4,2,1,1,1,1,2,1,1,X,X,X,X,X
248,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
250,S92000003,P,4,2,1,1,1,1,2,1,1,X,X,X,X,X
252,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
254,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
255,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
259,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
265,S92000003,P,1,2,1,1,2,1,2,1,2,X,X,X,X,X
277,S92000003,P,2,1,1,1,2,1,1,1,2,X,X,X,X,X
279,S92000003,P,2,1,1,1,1,1,1,1,2,X,X,X,X,X
281,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
287,S92000003,P,2,2,1,1,1,1,1,1,1,X,X,X,X,X
293,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
296,S92000003,P,4,1,1,1,1,1,2,1,1,X,X,X,X,X
303,S92000003,P,2,1,1,1,1,1,1,1,1,X,X,X,X,X
306,S92000003,P,1,2,1,1,2,1,1,1,1,X,X,X,X,X
326,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
329,S92000003,P,1,2,1,1,2,1,1,1,1,X,X,X,X,X
330,S92000003,P,1,2,1,1,1,1,1,1,9,X,X,X,X,X
331,S92000003,P,1,2,1,1,2,1,1,1,2,X,X,X,X,X
341,S92000003,P,2,2,1,1,2,1,1,1,2,X,X,X,X,X
357,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
358,S92000003,P,1,2,1,1,1,2,1,1,1,X,X,X,X,X
359,S92000003,P,2,1,1,1,1,1,1,1,1,X,X,X,X,X
361,S92000003,P,2,1,1,1,1,1,1,1,1,X,X,X,X,X
378,S92000003,P,2,1,1,1,1,1,1,1,2,X,X,X,X,X
381,S92000003,P,1,2,1,1,2,1,1,1,1,X,X,X,X,X
388,S92000003,P,4,1,1,1,2,1,1,1,1,X,X,X,X,X
392,S92000003,P,2,1,1,1,2,1,1,1,2,X,X,X,X,X
397,S92000003,P,2,2,1,1,1,1,1,1,2,X,X,X,X,X
401,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
407,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
408,S92000003,P,1,1,1,1,1,2,1,3,6,X,X,X,X,X
409,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
413,S92000003,P,1,1,1,1,1,1,2,1,2,X,X,X,X,X
417,S92000003,P,2,1,1,1,1,1,1,1,1,X,X,X,X,X
419,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
420,S92000003,P,4,2,1,1,1,1,1,1,2,X,X,X,X,X
423,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
435,S92000003,P,2,1,1,1,2,1,1,1,1,X,X,X,X,X
442,S92000003,P,1,2,1,1,1,1,1,1,9,X,X,X,X,X
446,S92000003,P,2,2,1,1,2,1,1,1,1,X,X,X,X,X
449,S92000003,P,4,2,1,1,2,1,1,1,1,X,X,X,X,X
473,S92000003,P,2,2,1,1,2,1,1,1,2,X,X,X,X,X
474,S92000003,P,4,2,1,1,1,1,2,1,1,X,X,X,X,X
478,S92000003,P,4,2,1,1,2,1,1,1,2,X,X,X,X,X
479,S92000003,P,4,2,1,1,1,1,1,1,1,X,X,X,X,X
480,S92000003,P,4,2,1,1,2,1,2,1,9,X,X,X,X,X
481,S92000003,P,2,1,1,1,1,1,2,1,2,X,X,X,X,X
488,S92000003,P,3,2,1,1,1,1,1,1,1,X,X,X,X,X
491,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
492,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
496,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
501,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
506,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
510,S92000003,P,1,2,1,1,1,1,2,1,2,X,X,X,X,X
511,S92000003,P,2,1,1,1,1,1,1,1,1,X,X,X,X,X
520,S92000003,P,1,1,1,1,1,1,1,1,9,X,X,X,X,X
540,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
546,S92000003,P,2,2,1,1,1,1,1,1,2,X,X,X,X,X
549,S92000003,P,4,2,1,1,1,1,1,5,1,X,X,X,X,X
550,S92000003,P,2,2,1,1,2,1,1,1,1,X,X,X,X,X
561,S92000003,P,4,2,1,1,1,1,1,1,1,X,X,X,X,X
569,S92000003,P,4,2,1,1,1,1,1,1,2,X,X,X,X,X
596,S92000003,P,1,1,1,1,2,1,1,1,1,X,X,X,X,X
598,S92000003,P,1,2,1,1,1,1,1,3,1,X,X,X,X,X
618,S92000003,P,2,2,1,1,1,1,1,1,1,X,X,X,X,X
620,S92000003,P,1,1,1,1,1,1,1,2,2,X,X,X,X,X
623,S92000003,P,2,1,1,1,2,1,1,1,1,X,X,X,X,X
629,S92000003,P,4,2,1,1,2,1,1,1,1,X,X,X,X,X
630,S92000003,P,4,2,1,1,1,1,1,1,1,X,X,X,X,X
634,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
646,S92000003,P,4,2,1,1,1,1,1,1,2,X,X,X,X,X
647,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
649,S92000003,P,2,2,1,1,2,1,1,1,1,X,X,X,X,X
650,S92000003,P,4,1,1,1,1,1,1,1,2,X,X,X,X,X
651,S92000003,P,1,2,1,1,2,1,1,1,1,X,X,X,X,X
655,S92000003,P,4,1,1,1,1,1,1,1,1,X,X,X,X,X
658,S92000003,P,4,2,1,1,1,1,2,1,9,X,X,X,X,X
672,S92000003,P,4,1,1,1,1,1,1,1,2,X,X,X,X,X
680,S92000003,P,2,1,1,1,1,1,1,1,1,X,X,X,X,X
681,S92000003,P,2,2,1,1,1,1,1,1,1,X,X,X,X,X
688,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
695,S92000003,P,4,2,1,1,1,1,1,1,1,X,X,X,X,X
704,S92000003,P,1,2,1,1,2,1,2,1,2,X,X,X,X,X
707,S92000003,P,4,1,1,1,1,1,1,1,1,X,X,X,X,X
708,S92000003,P,1,1,1,1,2,1,2,1,1,X,X,X,X,X
710,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
712,S92000003,P,1,2,1,1,1,2,2,1,2,X,X,X,X,X
714,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
736,S92000003,P,4,2,1,1,1,1,2,1,1,X,X,X,X,X
742,S92000003,P,4,2,1,1,1,1,1,1,2,X,X,X,X,X
746,S92000003,P,2,1,1,1,2,1,1,1,2,X,X,X,X,X
753,S92000003,P,1,2,1,1,2,1,1,1,1,X,X,X,X,X
754,S92000003,P,1,2,1,1,1,1,1,3,6,X,X,X,X,X
764,S92000003,P,1,2,1,1,2,1,1,1,1,X,X,X,X,X
768,S92000003,P,3,1,1,1,1,1,1,1,1,X,X,X,X,X
769,S92000003,P,4,1,1,1,1,1,1,1,1,X,X,X,X,X
770,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
771,S92000003,P,4,1,1,1,1,1,2,1,1,X,X,X,X,X
775,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
776,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
777,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
778,S92000003,P,1,2,1,1,2,1,1,1,9,X,X,X,X,X
789,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
794,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
796,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
807,S92000003,P,1,1,1,1,2,1,1,1,2,X,X,X,X,X
809,S92000003,P,1,1,1,1,2,1,1,1,9,X,X,X,X,X
831,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
838,S92000003,P,1,2,1,1,1,1,2,1,2,X,X,X,X,X
846,S92000003,P,4,1,1,1,1,1,3,1,1,X,X,X,X,X
847,S92000003,P,5,2,1,1,2,1,1,1,1,X,X,X,X,X
848,S92000003,P,1,1,1,1,1,1,2,1,2,X,X,X,X,X
856,S92000003,P,1,2,1,1,2,1,1,1,2,X,X,X,X,X
861,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
899,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
903,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
917,S92000003,P,5,1,1,1,1,1,1,1,2,X,X,X,X,X
918,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
923,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
939,S92000003,P,4,2,1,1,1,1,1,1,2,X,X,X,X,X
948,S92000003,P,1,2,1,1,2,1,1,1,1,X,X,X,X,X
955,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
958,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
960,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
961,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
962,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
968,S92000003,P,4,1,1,1,2,1,1,1,1,X,X,X,X,X
970,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
972,S92000003,P,0,1,1,1,2,1,1,1,2,X,X,X,X,X
974,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
977,S92000003,P,4,1,1,1,1,1,1,1,1,X,X,X,X,X
983,S92000003,P,2,1,1,1,1,1,1,1,1,X,X,X,X,X
996,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
998,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
1002,S92000003,P,1,2,1,1,1,1,1,1,9,X,X,X,X,X
1013,S92000003,P,2,2,1,1,2,1,1,1,2,X,X,X,X,X
1015,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
1023,S92000003,P,1,2,1,1,1,1,2,1,2,X,X,X,X,X
1027,S92000003,P,1,1,1,1,2,1,1,1,1,X,X,X,X,X
1034,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
1051,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
1054,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
1063,S92000003,P,4,2,1,1,1,1,1,1,1,X,X,X,X,X
1064,S92000003,P,4,1,1,1,1,1,1,1,9,X,X,X,X,X
1070,S92000003,P,2,1,1,1,2,1,1,1,1,X,X,X,X,X
1071,S92000003,P,4,2,1,1,1,1,1,1,2,X,X,X,X,X
1079,S92000003,P,2,2,1,1,1,1,1,1,2,X,X,X,X,X
1080,S92000003,P,4,1,1,1,1,1,1,1,1,X,X,X,X,X
1081,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
1088,S92000003,P,4,1,1,1,1,1,3,1,2,X,X,X,X,X
1090,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
1097,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
1100,S92000003,P,1,1,1,1,1,1,2,1,2,X,X,X,X,X
1105,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
1108,S92000003,P,4,2,1,1,2,1,1,1,1,X,X,X,X,X
1109,S92000003,P,1,1,1,1,1,1,2,1,1,X,X,X,X,X
1113,S92000003,P,4,1,1,1,1,1,1,1,1,X,X,X,X,X
1124,S92000003,P,4,1,1,1,1,1,1,1,2,X,X,X,X,X
1126,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
1131,S92000003,P,2,1,1,1,1,1,2,1,1,X,X,X,X,X
1136,S92000003,P,4,1,1,1,1,1,1,1,1,X,X,X,X,X
1139,S92000003,P,1,2,1,1,1,1,3,1,2,X,X,X,X,X
1143,S92000003,P,1,1,1,1,1,2,1,3,2,X,X,X,X,X
1152,S92000003,P,1,2,1,1,2,2,1,3,4,X,X,X,X,X
1170,S92000003,P,4,1,1,1,2,1,1,1,2,X,X,X,X,X
1171,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
1174,S92000003,P,2,1,1,1,2,1,1,1,2,X,X,X,X,X
1182,S92000003,P,4,1,1,1,1,1,2,1,2,X,X,X,X,X
1185,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
1189,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
1193,S92000003,P,4,2,1,1,1,1,1,1,2,X,X,X,X,X
1203,S92000003,P,4,2,1,1,1,1,1,1,2,X,X,X,X,X
1209,S92000003,P,2,1,1,1,1,1,1,1,1,X,X,X,X,X
1210,S92000003,P,4,1,1,1,1,1,1,1,1,X,X,X,X,X
1212,S92000003,P,1,2,1,1,1,1,2,1,2,X,X,X,X,X
1213,S92000003,P,4,2,1,1,2,1,1,1,2,X,X,X,X,X
1215,S92000003,P,1,1,1,1,2,1,1,1,1,X,X,X,X,X
1219,S92000003,P,4,1,1,1,1,1,1,1,1,X,X,X,X,X
1226,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
1232,S92000003,P,2,2,1,1,1,1,1,1,2,X,X,X,X,X
1235,S92000003,P,1,1,1,1,2,1,1,1,2,X,X,X,X,X
1236,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
1237,S92000003,P,1,2,1,1,1,1,1,1,9,X,X,X,X,X
1242,S92000003,P,2,2,1,1,1,1,1,1,1,X,X,X,X,X
1245,S92000003,P,1,2,1,1,2,1,1,1,1,X,X,X,X,X
1264,S92000003,P,1,2,1,1,1,1,1,2,6,X,X,X,X,X
1265,S92000003,P,1,1,1,1,1,1,2,1,2,X,X,X,X,X
1272,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
1274,S92000003,P,2,2,1,1,1,1,1,1,1,X,X,X,X,X
1278,S92000003,P,3,2,1,1,1,1,1,1,9,X,X,X,X,X
1281,S92000003,P,1,2,1,1,2,1,1,1,1,X,X,X,X,X
1290,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
1293,S92000003,P,1,1,1,1,1,1,2,1,2,X,X,X,X,X
1294,S92000003,P,4,2,1,1,2,1,2,1,1,X,X,X,X,X
1298,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
1299,S92000003,P,4,1,1,1,2,1,2,1,1,X,X,X,X,X
1326,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
1329,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
1330,S92000003,P,1,1,1,1,1,2,1,3,4,X,X,X,X,X
1343,S92000003,P,1,1,1,1,2,1,1,1,2,X,X,X,X,X
1358,S92000003,P,4,1,1,1,1,1,1,1,9,X,X,X,X,X
1359,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
1370,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
1386,S92000003,P,1,1,1,1,2,1,1,3,6,X,X,X,X,X
1394,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
1404,S92000003,P,4,1,1,1,1,1,2,1,9,X,X,X,X,X
1416,S92000003,P,1,1,1,1,1,1,2,1,2,X,X,X,X,X
1418,S92000003,P,1,2,1,1,2,1,1,1,2,X,X,X,X,X
1422,S92000003,P,1,2,1,1,2,1,1,1,2,X,X,X,X,X
1423,S92000003,P,1,1,1,1,1,1,2,1,1,X,X,X,X,X
1424,S92000003,P,4,2,1,1,1,1,1,1,1,X,X,X,X,X
1432,S92000003,P,4,1,1,1,2,1,1,1,1,X,X,X,X,X
1435,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
1437,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
1443,S92000003,P,4,1,1,1,2,1,2,5,1,X,X,X,X,X
1447,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
1448,S92000003,P,3,1,1,1,2,1,1,1,9,X,X,X,X,X
1458,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
1465,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
1483,S92000003,P,1,1,1,1,2,1,1,1,2,X,X,X,X,X
1488,S92000003,P,1,2,1,1,1,1,1,1,9,X,X,X,X,X
1489,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
1494,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
1502,S92000003,P,1,2,1,1,2,1,1,1,1,X,X,X,X,X
1510,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
1515,S92000003,P,1,2,1,1,2,1,1,1,1,X,X,X,X,X
1516,S92000003,P,1,1,1,1,2,1,1,1,1,X,X,X,X,X
1538,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
1542,S92000003,P,4,2,1,1,2,1,1,1,1,X,X,X,X,X
1554,S92000003,P,1,2,1,1,1,1,1,3,2,X,X,X,X,X
1559,S92000003,P,4,2,1,1,2,1,1,1,9,X,X,X,X,X
1560,S92000003,P,1,2,1,1,1,2,1,1,2,X,X,X,X,X
1572,S92000003,P,1,2,1,1,2,1,2,1,2,X,X,X,X,X
1583,S92000003,P,1,2,1,1,2,1,2,1,2,X,X,X,X,X
1585,S92000003,P,1,1,1,1,1,1,2,1,1,X,X,X,X,X
1626,S92000003,P,4,1,1,1,1,2,1,1,2,X,X,X,X,X
1630,S92000003,P,4,1,1,1,1,1,1,1,2,X,X,X,X,X
1632,S92000003,P,2,1,1,1,1,1,2,1,9,X,X,X,X,X
1640,S92000003,P,4,2,1,1,1,1,1,1,9,X,X,X,X,X
1642,S92000003,P,1,2,1,1,2,1,1,1,2,X,X,X,X,X
1648,S92000003,P,1,1,1,1,2,1,2,1,1,X,X,X,X,X
1653,S92000003,P,1,2,1,1,1,1,2,1,2,X,X,X,X,X
1657,S92000003,P,4,1,1,1,1,1,1,1,2,X,X,X,X,X
1659,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
1662,S92000003,P,4,1,1,1,2,1,2,1,2,X,X,X,X,X
1671,S92000003,P,1,1,1,1,2,1,2,1,2,X,X,X,X,X
1688,S92000003,P,4,2,1,1,1,1,1,3,6,X,X,X,X,X
1690,S92000003,P,4,2,1,1,1,1,2,1,2,X,X,X,X,X
1693,S92000003,P,2,2,1,1,2,1,2,4,2,X,X,X,X,X
1695,S92000003,P,1,2,1,1,1,1,2,1,1,X,X,X,X,X
1699,S92000003,P,4,2,1,1,1,1,1,1,1,X,X,X,X,X
1707,S92000003,P,5,2,1,1,1,1,1,1,9,X,X,X,X,X
1708,S92000003,P,2,1,1,1,1,1,1,1,2,X,X,X,X,X
1713,S92000003,P,4,2,1,1,1,1,1,1,1,X,X,X,X,X
1714,S92000003,P,4,1,1,1,2,1,1,1,1,X,X,X,X,X
1720,S92000003,P,1,1,1,1,1,2,1,3,6,X,X,X,X,X
1727,S92000003,P,1,1,1,1,1,2,1,1,2,X,X,X,X,X
1739,S92000003,P,4,2,1,1,2,1,1,1,1,X,X,X,X,X
1740,S92000003,P,4,2,1,1,1,2,1,1,2,X,X,X,X,X
1743,S92000003,P,4,2,1,1,1,1,1,1,2,X,X,X,X,X
1744,S92000003,P,4,2,1,1,2,1,1,1,1,X,X,X,X,X
1749,S92000003,P,1,2,1,1,1,1,3,3,6,X,X,X,X,X
1751,S92000003,P,1,2,1,1,2,1,1,3,6,X,X,X,X,X
1768,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
1770,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
1774,S92000003,P,2,2,1,1,2,1,1,1,1,X,X,X,X,X
1775,S92000003,P,1,2,1,1,2,1,1,1,1,X,X,X,X,X
1779,S92000003,P,1,1,1,1,2,1,1,1,2,X,X,X,X,X
1780,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
1787,S92000003,P,1,1,1,1,1,1,2,1,2,X,X,X,X,X
1790,S92000003,P,2,1,1,1,2,1,1,1,1,X,X,X,X,X
1802,S92000003,P,4,2,1,1,2,1,1,1,2,X,X,X,X,X
1812,S92000003,P,4,1,1,1,1,1,1,1,1,X,X,X,X,X
1813,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
1817,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
1819,S92000003,P,4,1,1,1,2,1,2,1,2,X,X,X,X,X
1820,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
