record_number,region,residence_type,family_composition,sex,age,marital_status,student,country_of_birth,health,ethnic_group,religion,economic_activity,occupation,industry,hours_worked_per_week,approximate_social_grade
40,S92000003,P,1,1,4,1,2,1,1,1,1,3,3,3,X,4
106,S92000003,P,1,1,5,2,2,1,2,1,2,3,3,2,X,2
152,S92000003,P,3,1,4,1,2,1,1,1,1,3,7,4,X,1
164,S92000003,P,1,2,2,1,1,1,2,1,1,4,X,X,X,2
172,S92000003,P,0,2,2,1,2,1,1,1,1,3,6,11,X,4
179,S92000003,P,1,2,5,2,2,1,1,1,2,3,1,11,X,3
188,S92000003,P,4,1,2,1,2,1,1,1,2,3,8,6,X,3
190,S92000003,P,2,2,2,1,2,1,2,1,1,3,X,X,X,2
199,S92000003,P,1,2,2,1,1,1,2,1,1,4,X,X,X,4
235,S92000003,P,0,1,5,1,2,1,2,1,2,3,7,4,X,4
243,S92000003,P,1,1,5,2,2,2,3,1,2,3,5,3,X,4
305,S92000003,P,0,1,3,1,2,1,2,1,2,3,5,4,X,4
374,S92000003,P,1,1,6,2,2,1,1,1,2,3,2,7,X,2
503,S92000003,P,1,2,2,1,2,1,2,1,2,3,X,X,X,3
533,S92000003,P,3,1,2,1,2,1,2,1,1,3,X,X,X,4
641,S92000003,P,0,1,5,4,2,1,2,1,2,3,8,8,X,4
660,S92000003,P,1,1,5,2,2,1,1,1,1,3,9,1,X,4
682,S92000003,P,2,1,2,1,2,1,1,1,1,3,6,12,X,2
699,S92000003,P,2,2,3,1,2,1,2,1,2,3,7,4,X,3
702,S92000003,P,4,2,4,4,2,1,2,1,2,3,6,11,X,4
791,S92000003,P,0,1,6,4,2,1,1,1,2,3,8,8,X,3
841,S92000003,P,0,1,4,1,2,1,2,1,1,3,8,2,X,4
862,S92000003,C,X,2,2,1,1,2,2,3,1,4,X,X,X,X
934,S92000003,P,4,2,2,1,2,1,1,1,9,3,X,X,X,4
935,S92000003,P,2,1,2,1,2,1,2,1,1,3,X,X,X,2
951,S92000003,P,1,1,2,1,2,1,1,1,1,3,9,5,X,3
969,S92000003,P,2,1,4,1,2,1,3,1,3,3,1,4,X,2
991,S92000003,P,0,2,5,1,2,1,1,1,2,3,9,5,X,4
997,S92000003,P,4,2,3,3,2,1,3,1,2,3,4,4,X,2
1008,S92000003,P,1,1,2,1,2,1,1,1,2,3,5,3,X,3
1024,S92000003,P,1,1,2,1,2,1,1,1,1,3,X,X,X,3
1025,S92000003,P,1,2,5,2,2,2,1,1,2,3,1,8,X,1
1073,S92000003,P,4,1,2,1,2,1,1,1,2,3,X,X,X,4
1075,S92000003,C,X,1,2,1,1,1,1,1,1,4,X,X,X,X
1083,S92000003,P,0,1,3,1,2,1,2,1,2,3,8,6,X,3
